code,name,trades,win_rate,final_pnl,max_dd,avg_pnl
5631,日本製鋼所,12,83.3,174821,-1.89,14568
1515,日鉄鉱業,13,84.6,166132,-0.76,12779
7003,三井Ｅ＆Ｓ,18,66.7,151709,-2.44,8428
6857,アドバンテスト,17,70.6,145650,-1.59,8567
6590,芝浦メカトロニクス,8,87.5,144118,-1.67,18014
4506,住友ファーマ,12,75.0,143023,-0.52,11918
9024,西武ホールディングス,11,81.8,131150,-1.07,11922
8360,山梨中央銀行,16,75.0,128651,-2.43,8040
3741,セック,14,85.7,119521,-1.58,8537
4062,イビデン,9,77.8,116224,-1.95,12913
6941,山一電機,11,72.7,113278,-1.49,10298
1942,関電工,20,65.0,112852,-2.19,5642
4971,メック,6,100.0,111452,0.0,18575
7012,川崎重工業,20,65.0,109431,-3.2,5471
1605,ＩＮＰＥＸ,14,71.4,105337,-1.39,7524
6269,三井海洋開発,15,60.0,104634,-1.91,6975
7456,松田産業,19,68.4,99693,-1.58,5247
7220,武蔵精密工業,14,64.3,99317,-2.38,7094
7173,東京きらぼしフィナンシャルグループ,17,64.7,97605,-1.09,5741
7013,ＩＨＩ,18,66.7,90609,-2.71,5033
1961,三機工業,15,80.0,90295,-2.11,6019
4403,日油,11,81.8,89421,-0.97,8129
1803,清水建設,15,80.0,88443,-0.88,5896
5805,ＳＷＣＣ,11,63.6,88321,-1.81,8029
1893,五洋建設,13,84.6,88315,-0.38,6793
6617,東光高岳,19,52.6,87885,-2.85,4625
4676,フジ・メディア・ホールディングス,12,58.3,87225,-1.65,7268
3110,日東紡績,6,83.3,86966,-0.18,14494
7011,三菱重工業,20,60.0,84893,-2.89,4244
5333,ＮＧＫ,13,76.9,82264,-2.32,6328
8551,北日本銀行,19,63.2,82075,-2.18,4319
1801,大成建設,17,64.7,79833,-1.72,4696
8361,大垣共立銀行,13,69.2,77902,-1.49,5992
3659,ネクソン,9,88.9,77710,-1.13,8634
4022,ラサ工業,21,61.9,77096,-2.34,3671
8877,エスリード,18,72.2,75946,-1.01,4219
6387,サムコ,8,62.5,74619,-2.26,9327
4004,レゾナック・ホールディングス,13,76.9,73650,-1.67,5665
6871,日本マイクロニクス,6,66.7,73298,-1.99,12216
8522,名古屋銀行,13,76.9,72166,-1.58,5551
6101,ツガミ,16,62.5,70777,-2.29,4423
2432,ディー・エヌ・エー,13,53.8,70668,-3.84,5436
4626,太陽ホールディングス,17,70.6,70405,-1.55,4141
6841,横河電機,11,72.7,68879,-0.86,6261
5803,フジクラ,16,50.0,68035,-3.28,4252
1812,鹿島建設,15,66.7,67361,-1.72,4490
9722,藤田観光,12,66.7,67006,-3.09,5583
8059,第一実業,13,61.5,66412,-0.99,5108
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,10,80.0,65956,-2.11,6595
6376,日機装,6,100.0,65480,0.0,10913
5541,大平洋金属,18,55.6,65382,-3.0,3632
1980,ダイダン,14,71.4,65272,-1.2,4662
7102,日本車輌製造,9,77.8,64415,-0.78,7157
1815,鉄建建設,12,75.0,64063,-2.0,5338
5706,三井金属,12,50.0,64017,-1.88,5334
3153,八洲電機,15,53.3,63457,-1.32,4230
6754,アンリツ,11,72.7,62872,-1.25,5715
8341,七十七銀行,14,64.3,61735,-1.22,4409
1950,日本電設工業,13,76.9,61413,-1.48,4724
1814,大末建設,12,58.3,61215,-1.53,5101
3036,アルコニックス,13,61.5,61089,-1.88,4699
8708,アイザワ証券グループ,9,66.7,60670,-0.83,6741
2108,日本甜菜製糖,15,66.7,60602,-1.65,4040
6474,不二越,13,69.2,60506,-1.38,4654
4229,群栄化学工業,8,87.5,60453,-0.83,7556
7826,フルヤ金属,7,57.1,60369,-2.35,8624
1663,Ｋ＆Ｏエナジーグループ,10,80.0,59806,-1.27,5980
1969,高砂熱学工業,12,58.3,59607,-2.13,4967
6752,パナソニック　ホールディングス,11,63.6,59530,-1.71,5411
4275,カーリット,14,64.3,59505,-1.99,4250
7350,おきなわフィナンシャルグループ,10,80.0,59379,-0.9,5937
8362,福井銀行,11,63.6,59293,-1.02,5390
5715,古河機械金属,13,61.5,59231,-2.08,4556
7224,新明和工業,14,64.3,59053,-1.35,4218
