code,name,trades,win_rate,final_pnl,max_dd
9305,ヤマタネ,25,92.0,162907,-0.88
5949,ユニプレス,10,90.0,96908,-1.12
6999,ＫＯＡ,16,87.5,148728,-1.05
6902,デンソー,12,83.3,67293,-0.68
5981,東京製綱,17,82.4,105772,-1.45
7637,白銅,22,81.8,157491,-0.98
2752,フジオフードグループ本社,21,81.0,83283,-0.84
7453,良品計画,10,80.0,62321,-0.12
9699,ニシオホールディングス,18,77.8,52652,-1.08
4923,コタ,18,77.8,45919,-1.12
7013,ＩＨＩ,13,76.9,69132,-0.3
7949,小松ウオール工業,17,76.5,75159,-0.91
7148,ＦＰＧ,17,76.5,81073,-1.16
7038,フロンティア・マネジメント,13,76.9,169099,-2.94
1963,日揮ホールディングス,20,75.0,120661,-0.81
6707,サンケン電気,12,75.0,51578,-1.02
6920,レーザーテック,27,74.1,212640,-1.65
2784,アルフレッサ　ホールディングス,15,73.3,76684,-1.01
4548,生化学工業,15,73.3,30265,-1.34
9956,バローホールディングス,15,73.3,81235,-1.77
9697,カプコン,22,72.7,156590,-1.42
2815,アリアケジャパン,18,72.2,76294,-1.52
4099,四国化成ホールディングス,28,71.4,114408,-1.47
3388,明治電機工業,14,71.4,86868,-1.63
1979,大氣社,17,70.6,91799,-1.12
8179,ロイヤルホールディングス,17,70.6,84275,-1.28
6055,ジャパンマテリアル,17,70.6,92097,-1.47
6594,ニデック,24,70.8,97620,-2.12
4028,石原産業,13,69.2,39112,-1.21
2461,ファンコミュニケーションズ,19,68.4,64737,-1.07
