code,name,trades,win_rate,final_pnl,max_dd,p_value
9305,ヤマタネ,18,94.4,103641.0,-0.03,0.0
7637,白銅,28,85.7,241236.0,-0.92,0.0
6250,やまびこ,19,84.2,92915.0,-1.51,0.002
6902,デンソー,12,83.3,73647.0,-0.68,0.019
3457,Ａｎｄ　Ｄｏホールディングス,20,85.0,198511.0,-2.77,0.001
7203,トヨタ自動車,17,82.4,61311.0,-0.72,0.006
9409,テレビ朝日ホールディングス,16,81.2,51799.0,-1.42,0.011
1963,日揮ホールディングス,21,81.0,136777.0,-1.11,0.004
8060,キヤノンマーケティングジャパン,15,80.0,55576.0,-1.35,0.018
6841,横河電機,17,76.5,49726.0,-0.87,0.025
7943,ニチハ,17,76.5,129865.0,-1.46,0.025
2815,アリアケジャパン,12,75.0,47465.0,-0.92,0.073
5970,ジーテクト,20,75.0,30378.0,-1.83,0.021
6737,ＥＩＺＯ,19,73.7,96733.0,-1.77,0.032
5981,東京製綱,15,73.3,55377.0,-1.55,0.059
6440,ＪＵＫＩ,15,73.3,56983.0,-1.6,0.059
9644,タナベコンサルティンググループ,22,72.7,77159.0,-1.07,0.026
4099,四国化成ホールディングス,18,72.2,70408.0,-0.61,0.048
5602,栗本鐵工所,15,73.3,38189.0,-2.27,0.059
5021,コスモエネルギーホールディングス,18,72.2,115818.0,-1.27,0.048
7226,極東開発工業,18,72.2,62543.0,-1.44,0.048
4776,サイボウズ,25,72.0,208903.0,-1.43,0.022
6999,ＫＯＡ,14,71.4,52776.0,-1.15,0.09
6005,三浦工業,24,70.8,172743.0,-1.1,0.032
4275,カーリット,23,69.6,84057.0,-0.78,0.047
2752,フジオフードグループ本社,22,68.2,71157.0,-0.91,0.067
7715,長野計器,34,67.6,71235.0,-2.47,0.029
7730,マニー,24,66.7,85895.0,-1.96,0.076
9974,ベルク,29,65.5,39945.0,-1.64,0.068
