Code,Name,Trades,WinRate,AvgPnL,FinalPnL,FinalCapital,MaxDD
3393,スターティアホールディングス,6,83.3%,5478,32866,1032866,-0.4%
7466,ＳＰＫ,5,100.0%,5238,26189,1026189,0.0%
3092,ＺＯＺＯ,5,80.0%,5173,25867,1025867,-0.8%
2791,大黒天物産,5,80.0%,3979,19893,1019893,-0.8%
9627,アインホールディングス,5,80.0%,3897,19483,1019483,-0.7%
1766,東建コーポレーション,6,66.7%,3228,19368,1019368,-1.1%
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,5,60.0%,2860,14301,1014301,-0.9%
5991,日本発條,5,60.0%,2815,14073,1014073,-0.9%
4725,ＣＡＣ　Ｈｏｌｄｉｎｇｓ,6,66.7%,1978,11866,1011866,-0.5%
6508,明電舎,5,60.0%,2367,11833,1011833,-2.1%
7226,極東開発工業,6,66.7%,1668,10005,1010005,-1.8%
8892,エスコン,5,80.0%,1964,9819,1009819,-0.3%
9769,学究社,5,80.0%,1961,9805,1009805,-0.2%
9142,九州旅客鉄道,5,60.0%,1871,9353,1009353,-0.5%
4221,大倉工業,8,50.0%,1132,9053,1009053,-0.9%
8278,フジ,5,60.0%,1780,8901,1008901,-0.5%
1301,極洋,5,60.0%,1779,8896,1008896,-0.6%
2296,伊藤ハム米久ホールディングス,5,60.0%,1663,8317,1008317,-0.5%
3388,明治電機工業,5,60.0%,1557,7784,1007784,-0.7%
2211,不二家,6,66.7%,1053,6321,1006321,-0.6%
8877,エスリード,6,50.0%,1032,6194,1006194,-1.5%
7172,ジャパンインベストメントアドバイザー,5,60.0%,1201,6006,1006006,-1.5%
3939,カナミックネットワーク,5,80.0%,1163,5817,1005817,-0.2%
2331,ＡＬＳＯＫ,5,60.0%,1062,5310,1005310,-0.4%
2749,ＪＰホールディングス,5,60.0%,1044,5220,1005220,-0.5%
2533,オエノンホールディングス,6,66.7%,773,4638,1004638,-0.1%
2664,カワチ薬品,6,66.7%,772,4631,1004631,-1.0%
5959,岡部,5,80.0%,811,4053,1004053,-0.3%
6762,ＴＤＫ,6,50.0%,459,2755,1002755,-1.8%
2809,キユーピー,8,50.0%,202,1613,1001613,-1.2%
2198,アイ・ケイ・ケイホールディングス,6,50.0%,204,1223,1001223,-0.4%
7283,愛三工業,5,60.0%,94,468,1000468,-1.0%
6282,オイレス工業,5,60.0%,73,366,1000366,-0.7%
6284,日精エー・エス・ビー機械,5,40.0%,34,172,1000172,-1.4%
3992,ニーズウェル,5,60.0%,22,108,1000108,-0.5%
