Code,Name,Trades,WinRate,AvgPnL,FinalPnL,FinalCapital,MaxDD
1969,高砂熱学工業,4,100.0%,2667,10666,1010666,-0.0%
2326,デジタルアーツ,5,100.0%,5629,28144,1028144,-0.0%
2475,WDBホールディングス,4,100.0%,17293,69173,1069173,-0.0%
2492,インフォマート,4,100.0%,14210,56840,1056840,-0.0%
3431,宮地エンジニアリンググループ,4,100.0%,4074,16295,1016295,-0.0%
4390,アイ・ピー・エス,4,100.0%,32152,128608,1128608,-0.0%
4553,東和薬品,5,100.0%,4577,22887,1022887,-0.0%
4911,資生堂,4,100.0%,5512,22047,1022047,-0.0%
8203,MrMaxHD,4,100.0%,5506,22024,1022024,-0.0%
6920,レーザーテック,8,87.5%,6755,54039,1054039,-0.3%
