Code,Name,Trades,WinRate,FinalPnL,MaxDD,PValue
2593,伊藤園,52,100.0%,15524956,0.0%,0.0
2267,ヤクルト本社,11,90.9%,108636,-0.1%,0.006
7717,ブイ・テクノロジー,11,90.9%,227797,-0.9%,0.006
4819,デジタルガレージ,10,90.0%,125560,-0.1%,0.011
4928,ノエビアホールディングス,14,85.7%,98846,-0.8%,0.006
8179,ロイヤルホールディングス,14,85.7%,99661,-1.2%,0.006
6817,スミダコーポレーション,13,84.6%,204109,-1.1%,0.011
6745,ホーチキ,19,84.2%,133262,-1.2%,0.002
8881,日神グループホールディングス,18,83.3%,38115,-0.6%,0.004
4022,ラサ工業,16,81.2%,133045,-0.1%,0.011
7038,フロンティア・マネジメント,11,81.8%,145435,-2.0%,0.033
7630,壱番屋,10,80.0%,70259,-0.6%,0.055
8877,エスリード,26,80.8%,181584,-1.9%,0.001
3817,ＳＲＡホールディングス,10,80.0%,67944,-1.6%,0.055
8218,コメリ,13,76.9%,52860,-1.4%,0.046
4743,アイティフォー,12,75.0%,57353,-0.6%,0.073
8154,加賀電子,21,76.2%,113544,-2.3%,0.013
7949,小松ウオール工業,16,75.0%,45068,-1.1%,0.038
3635,コーエーテクモホールディングス,20,75.0%,67036,-1.9%,0.021
2810,ハウス食品グループ本社,19,73.7%,83929,-0.9%,0.032
3198,ＳＦＰホールディングス,23,73.9%,113122,-1.6%,0.017
8173,Ｊｏｓｈｉｎ,15,73.3%,112890,-0.9%,0.059
2384,ＳＢＳホールディングス,19,73.7%,150119,-2.0%,0.032
6820,アイコム,15,73.3%,33611,-1.7%,0.059
3659,ネクソン,18,72.2%,56713,-1.1%,0.048
6532,ベイカレント,29,72.4%,225352,-1.9%,0.012
6999,ＫＯＡ,14,71.4%,104475,-1.1%,0.09
6141,ＤＭＧ森精機,14,71.4%,113529,-1.3%,0.09
4337,ぴあ,14,71.4%,91960,-1.6%,0.09
6383,ダイフク,17,70.6%,160236,-1.3%,0.072
