Code,Name,Trades,WinRate,FinalPnL,MaxDD,PValue
2267,ヤクルト本社,10,90.0,100804.0,-0.07,0.011
7717,ブイ・テクノロジー,20,90.0,431336.0,-1.91,0.0
8179,ロイヤルホールディングス,14,85.7,99662.0,-1.24,0.006
8881,日神グループホールディングス,18,83.3,38116.0,-0.59,0.004
7038,フロンティア・マネジメント,11,81.8,145436.0,-2.02,0.033
9470,学研ホールディングス,10,80.0,102802.0,-0.14,0.055
5805,ＳＷＣＣ,15,80.0,44705.0,-0.42,0.018
7630,壱番屋,10,80.0,70260.0,-0.6,0.055
6745,ホーチキ,21,81.0,128274.0,-1.93,0.004
8877,エスリード,26,80.8,181584.0,-1.88,0.001
2201,森永製菓,10,80.0,46298.0,-1.12,0.055
4819,デジタルガレージ,14,78.6,125031.0,-1.44,0.029
4968,荒川化学工業,14,78.6,120035.0,-1.77,0.029
6817,スミダコーポレーション,18,77.8,207275.0,-1.08,0.015
2752,フジオフードグループ本社,13,76.9,82353.0,-0.64,0.046
7943,ニチハ,22,77.3,138459.0,-1.53,0.008
8218,コメリ,13,76.9,52860.0,-1.38,0.046
3659,ネクソン,17,76.5,59014.0,-1.1,0.025
5019,出光興産,12,75.0,78890.0,-1.04,0.073
7949,小松ウオール工業,16,75.0,45069.0,-1.09,0.038
3635,コーエーテクモホールディングス,20,75.0,67036.0,-1.93,0.021
2810,ハウス食品グループ本社,19,73.7,83929.0,-0.92,0.032
3198,ＳＦＰホールディングス,23,73.9,113122.0,-1.61,0.017
8173,Ｊｏｓｈｉｎ,15,73.3,112891.0,-0.93,0.059
4928,ノエビアホールディングス,19,73.7,91664.0,-1.43,0.032
2384,ＳＢＳホールディングス,19,73.7,150120.0,-1.99,0.032
4022,ラサ工業,18,72.2,131734.0,-0.18,0.048
6820,アイコム,15,73.3,33612.0,-1.7,0.059
4820,イーエムシステムズ,22,72.7,141722.0,-1.54,0.026
4337,ぴあ,18,72.2,143075.0,-1.49,0.048
